player,FGM,FGA,FTM,FTA,TPM,REB,AST,STL,BLK,PTS,TO
Richaun Holmes,2.8100016,5.04,0.7699964,1.16,0.08,4.4,1.27,0.41,0.58,6.47,0.52
Tristan Thompson,3.4700138,6.43,1.640004,2.85,0,9.07,0.83,0.42,0.57,8.59,1.02
Cameron Payne,2.9300281,7.27,0.4100004,0.54,1.18,2.33,3.82,0.88,0.3,7.48,1.22
Justin Holiday,3.15996,8.5,1.4699952,1.78,1.74,3.14,1.67,0.88,0.34,9.54,1.01
Mason Plumlee,2.980012,4.97,1.0999963,2.41,0,5.4,1.9,0.66,1.08,7.08,1.41
Marco Belinelli,3.630033,8.14,1.5299994,1.74,1.66,2.07,1.82,0.52,0.07,10.43,1.02
Frank Kaminsky,3.8800356,9.06,1.96,2.45,1.31,3.64,1.63,0.45,0.27,11.05,0.82
Mike Muscala,2.3199911,5.11,0.92,1,1,3.73,0.83,0.5,0.44,6.6,0.67
Tyrone Wallace,3.7900136,8.51,2.0999944,2.68,0.34,3.61,2.44,0.93,0.44,10.03,1.58
Tyus Jones,1.82,4,0.859999,0.98,0.54,1.59,2.82,1.15,0.06,5.07,0.71
Joe Harris,3.1799952,6.48,0.9000021,1.09,1.56,2.69,1.33,0.37,0.2,8.81,0.95
Jonathon Simmons,4.4700336,9.72,2.399985,3.15,0.97,3.3,2.29,0.82,0.23,12.32,1.83
Jerian Grant,2.9799651,7.21,1.9999881,2.69,0.86,2.5,4.87,0.86,0.11,8.85,1.28
Ersan Ilyasova,3.2999802,7.59,1.2999987,1.69,1.19,4.75,0.92,0.62,0.29,9.09,0.91
Ekpe Udoh,0.95,1.9,0.66,0.88,0,2.37,0.84,0.68,1.17,2.57,0.31
Quinn Cook,3.5200256,7.28,0.63,0.72,1.33,2.37,2.57,0.34,0.03,9.02,0.92
De'Aaron Fox,5.239992,12.4,2.7900085,3.79,0.78,2.88,5.25,1.14,0.25,14.04,2.69
Greg Monroe,3.0400107,5.37,1.2199935,1.65,0,4.86,1.59,0.62,0.35,7.3,1.33
OG Anunoby,2.780021,5.9,0.6500025,1.05,1.24,3.14,0.93,0.89,0.22,7.47,0.76
Ish Smith,4.0000269,8.23,0.8300012,1.19,0.35,2.29,3.7,0.65,0.21,9.2,1.14
Maxi Kleber,2.1399957,4.59,0.63,0.8,0.61,3.33,0.85,0.44,0.76,5.55,0.46
Michael Beasley,4.3699907,8.59,1.3200083,1.69,0.36,4.4,1.31,0.38,0.46,10.41,1.52
Seth Curry,3.5700324,7.59,1.0599964,1.37,1.51,1.97,2.12,0.83,0.08,9.71,1.59
Ed Davis,2.0500122,3.53,0.8900012,1.34,0,6.94,0.48,0.37,0.63,5.01,0.79
Skal Labissiere,3.4099996,7.63,1.5799952,1.96,0.3,4.8,1.2,0.41,0.81,8.71,1.21
Daniel Theis,1.9900069,3.71,0.96,1.28,0.28,4.34,0.88,0.47,0.74,5.25,0.88
Zach Randolph,4.6900066,9.91,1.0800022,1.39,0.66,5.16,1.65,0.54,0.12,11.14,1.5
Dwyane Wade,4.180035,9.55,1.869999,2.65,0.44,3.54,3.18,0.86,0.65,10.69,1.96
Bam Adebayo,2.520024,4.92,1.8600085,2.59,0,5.53,1.46,0.46,0.6,6.91,0.97
Salah Mejri,1.4899968,2.32,0.6400038,1.11,0,4.16,0.59,0.38,1.13,3.62,0.66
Malik Monk,4.3700326,10.93,1.1799966,1.38,2.08,1.95,2.11,0.62,0.26,12,1.44
Wade Baldwin IV,3.2700109,4.91,1.3900048,2.32,0.93,1.87,1.16,0.46,0.23,8.87,0.93
C.J. Miles,3.1900012,8.42,1.1400064,1.36,2.3,2.13,0.77,0.52,0.29,9.84,0.56
Michael Kidd-Gilchrist,3.8100132,7.56,1.5799938,2.31,0,4.06,0.95,0.68,0.41,9.2,0.71
J.R. Smith,2.9799858,7.37,0.4799985,0.69,1.77,2.92,1.75,0.84,0.12,8.21,1
Justin Anderson,3.2799861,7.61,1.0500061,1.43,1.28,3.47,0.97,0.56,0.29,8.91,0.6
JaVale McGee,2.0899872,3.36,0.58,0.8,0,2.59,0.5,0.32,0.87,4.76,0.41
Thabo Sefolosha,2.2200024,4.92,0.8400036,1.11,0.6,3.31,0.67,1.05,0.24,5.89,0.61
Monte Morris,1.629985,3.5,1.0599964,1.16,0,1.16,4.08,0.87,0,4.53,0.58
Marvin Bagley III,5.4399474,11.46,2.4199977,3.81,0.47,7.82,1.15,0.57,0.57,13.77,2.22
Darius Miller,2.630019,5.95,0.700002,0.81,1.79,1.99,1.35,0.34,0.2,7.76,0.71
Tony Snell,2.380015,5.5,0.4600014,0.57,1.43,1.99,1.16,0.57,0.3,6.64,0.57
Frank Ntilikina,3.0599978,7.73,0.8600046,1.14,0.94,2.67,3.95,1.07,0.24,7.9,1.86
Meyers Leonard,2.4700038,4.18,0.4800022,0.58,0.58,3.75,0.9,0.37,0,6.02,0.53
Dion Waiters,5.1999448,12.62,1.649994,2.36,1.58,2.63,3.43,0.84,0.28,13.65,2.12
Chandler Parsons,2.9099808,6.32,0.45,0.72,1.37,2.42,1.86,0.48,0.29,7.67,0.94
Nemanja Bjelica,2.1500213,4.67,0.4400001,0.57,0.95,3.43,1.09,0.64,0.2,5.72,0.65
Evan Turner,3.260034,7.3,1.1499975,1.35,0.53,3.07,2.18,0.59,0.35,8.21,1.25
Cedi Osman,3.2100215,6.65,0.9299965,1.63,1.14,4.25,1.46,0.78,0.06,8.51,1.14
Kevin Knox,4.3799946,10.49,2.0800115,2.65,1.28,4.34,1.31,0.75,0.16,12.12,1.66
Mario Chalmers,2.5400034,6.71,1.7799903,2.09,0.8,2.37,2.98,1.19,0.21,7.68,1.77
Gorgui Dieng,2.2600004,4.76,0.9799955,1.27,0.22,4.42,0.89,0.53,0.47,5.78,0.69
Milos Teodosic,2.9200118,6.97,0.750003,0.89,1.7,2.43,4.04,0.45,0.09,8.31,1.87
Garrett Temple,2.6900206,6.41,0.799995,1.05,1.19,2.03,1.67,0.79,0.35,7.39,1.08
Bismack Biyombo,2.020018,3.85,1.1199952,1.72,0,5.16,0.73,0.23,1.04,5.15,0.92
Royce O'Neale,2.0800068,4.74,1.0400004,1.24,0.7,4,1.5,0.56,0.3,5.9,0.98
Justise Winslow,2.6200288,6.17,0.8300029,1.31,0.62,4.68,1.87,0.67,0.41,6.7,0.97
Patrick Patterson,1.5800004,3.96,0.5899983,0.69,0.98,2.89,0.84,0.72,0.34,4.74,0.5
Jeff Green,2.8099932,5.88,1.9299981,2.23,0.49,2.32,0.94,0.39,0.31,8.05,0.69
Marcin Gortat,2.5399836,4.76,0.8700018,1.29,0,5.48,1.07,0.31,0.49,5.96,0.85
Glenn Robinson III,2.3199911,5.47,0.5700021,0.69,0.9,2.36,1.08,0.83,0.06,6.1,0.31
Shelvin Mack,2.56998,6,1.000006,1.4,0.69,2.36,3.91,0.78,0.11,6.85,1.28
Mikal Bridges,2.0499924,4.44,1.0799953,1.27,0.77,2.01,0.71,0.56,0.41,5.96,0.62
Solomon Hill,1.9300001,4.97,0.5799996,0.73,0.58,4.37,2.66,0.85,0.12,5.03,1.09
Kevon Looney,1.690004,2.9,0.629996,1.16,0.01,3.27,0.63,0.51,0.83,4.04,0.46
Austin Rivers,3.6800412,8.69,1.0999917,1.71,1.46,1.56,2.61,0.79,0.17,9.93,1.18
Mike Scott,3.6299965,6.89,0.65,1,0.86,3.23,1.05,0.3,0.13,8.78,1.03
Omri Casspi,2.260011,3.9,0.940004,1.3,0.18,3.76,0.96,0.33,0.35,5.66,0.69
Aron Baynes,2.590005,5.5,0.72,0.96,0.03,5.34,1.14,0.27,0.64,5.95,0.98
Robert Williams,1.770015,3.13,0.4699982,0.98,0,3.99,0.6,0.34,1.11,4.03,0.87
Davis Bertans,2.109984,4.8,0.52,0.64,1.23,2,0.96,0.35,0.38,6,0.47
Dragan Bender,2.279996,5.9,0.4699972,0.62,1.43,4.4,1.58,0.26,0.64,6.47,1.37
Tyson Chandler,1.8599904,2.88,0.8900034,1.43,0,6.43,0.81,0.24,0.41,4.61,0.91
Josh Jackson,5.659944,13.56,2.5700056,4.04,0.82,5.07,1.73,1.14,0.51,14.72,2.12
Devin Harris,2.529987,6.15,1.909989,2.3,1.07,1.72,2.04,0.63,0.15,8.06,1.03
Shai Gilgeous-Alexander,2.48998,5.75,2.190012,2.64,0.27,2.29,2.87,0.89,0.28,7.44,1.81
Tomas Satoransky,1.8800012,3.58,0.6799956,0.89,0.43,2.15,2.67,0.49,0.11,4.88,0.79
Ian Clark,3.5400024,7.92,0.7100008,0.94,0.98,2.04,1.74,0.52,0.15,8.82,0.91
Luc Richard Mbah a Moute,1.93,4,0.760001,1.1,0.73,2.15,0.64,0.84,0.31,5.35,0.81
Zaza Pachulia,1.890003,3.35,0.9500008,1.19,0,4.07,1.38,0.48,0.21,4.73,0.94
Melvin Frazier,2.3200155,4.59,1.2799963,1.87,0.49,2.37,1.06,0.94,0.27,6.41,1.22
Shabazz Napier,2.2699819,5.41,1.169994,1.4,0.83,1.72,1.53,0.82,0.13,6.56,0.91
Marquese Chriss,2.2899939,5.43,1.1000087,1.79,0.64,4.5,0.94,0.6,0.77,6.35,1.21
Wesley Johnson,1.460016,3.6,0.4099984,0.56,0.59,2.1,0.59,0.75,0.6,3.94,0.54
Jonas Jerebko,2.140012,4.6,0.6199963,0.77,0.87,3.31,0.56,0.32,0.17,5.79,0.36
Elie Okobo,3.0100264,7.76,1.1800058,1.42,0.59,1.78,4.36,0.98,0.09,7.8,1.78
Andrew Harrison,2.559984,6.08,1.75,2.24,0.66,1.85,2.5,0.55,0.36,7.54,1.14
Kenneth Faried,2.3700138,4.62,1.119996,1.59,0,4.8,0.56,0.37,0.4,5.87,0.68
Raymond Felton,2.7300245,6.73,0.4299996,0.53,0.98,1.88,2.47,0.6,0.17,6.89,0.9
Yogi Ferrell,2.5199856,5.94,0.6599994,0.83,1.08,2.03,1.64,0.52,0.08,6.81,0.63
Doug McDermott,2.9500224,6.36,0.7900018,1.01,1.15,2.49,0.98,0.23,0.15,7.87,0.69
Dante Cunningham,1.9500155,4.33,0.3699974,0.62,0.69,3.53,0.57,0.45,0.34,4.97,0.4
Brandon Knight,3.4500004,8.47,1.6300008,1.93,1.13,2.1,2.91,0.5,0.1,9.66,1.62
Alec Burks,2.649996,6.48,1.6699904,1.93,0.73,2.99,1.04,0.59,0.12,7.71,0.93
Justin Jackson,2.72002,6.14,0.3800004,0.52,0.83,2.74,1.08,0.41,0.19,6.66,0.58
Dzanan Musa,2.6199936,6.08,1.6900054,2.26,1.48,2.57,0.73,0.57,0.23,8.45,1.35
MarShon Brooks,2.16,4.32,0.8400006,0.97,0.8,0.93,1.06,0.47,0.12,5.97,0.68
Shaun Livingston,2.4200232,4.83,0.7000005,0.85,0,1.84,1.97,0.47,0.28,5.54,0.81
Michael Carter-Williams,1.4599854,4.38,1.3999941,1.71,0.26,2.65,2.23,0.86,0.44,4.59,1.03
Jose Calderon,1.6300116,3.24,0.4199988,0.52,0.78,1.45,2.05,0.47,0.03,4.47,0.71
Jahlil Okafor,2.6400025,4.75,0.71,1,0.02,2.9,0.42,0.09,0.6,6.05,0.71
Tyler Zeller,2.1,3.75,0.6399976,0.88,0.11,3.41,0.53,0.16,0.39,4.95,0.53
Lance Stephenson,3.029996,7.1,0.8400034,1.27,0.67,4.25,2.35,0.47,0.16,7.59,1.3
Cory Joseph,2.0400168,4.82,0.5499975,0.75,0.54,2.12,2.07,0.63,0.15,5.18,0.71
Alex Abrines,1.7499816,4.44,0.590002,0.7,1.28,1.72,0.42,0.58,0.11,5.39,0.37
Amir Johnson,1.3500035,2.51,0.4999968,0.81,0.09,3.17,1.14,0.43,0.42,3.3,0.54
Rodney McGruder,1.8900096,3.84,0.21,0.42,0.78,1.67,0.89,0.42,0.15,4.78,0.21
Langston Galloway,2.1700272,5.84,0.56,0.7,1.29,1.58,1,0.63,0.06,6.2,0.31
DeAndre' Bembry,2.6699932,6.43,0.9599946,1.66,0.56,3.64,2.47,1.01,0.61,6.89,2.37
Boban Marjanovic,2.13,4,2.0799918,2.62,0,3.88,0.59,0.27,0.29,6.35,0.97
Miles Bridges,2.5799697,6.31,1.2700006,1.51,0.79,3.29,1.27,0.28,0.37,7.23,1.13
Luke Kornet,1.7499829,4.43,0.29,0.4,0.99,2.29,0.91,0.16,0.56,4.77,0.43
Zhaire Smith,1.5899856,3.16,1.0500061,1.43,0.16,2.1,0.76,0.46,0.46,4.41,0.55
Vince Carter,1.4600106,3.66,0.3600012,0.47,0.73,1.9,0.88,0.54,0.33,4.03,0.46
Derrick Rose,4.7199732,10.86,2.3199897,2.67,0.4,2.04,2.16,0.4,0.23,12.2,2.04
Ben McLemore,2.3499729,5.61,0.7999968,0.96,0.83,2.08,0.76,0.56,0.22,6.33,0.9
Norman Powell,2.5100064,6.27,0.529997,0.65,0.88,1.99,1.48,0.6,0.27,6.44,1.1
Juancho Hernangomez,1.6100208,4.32,0.65,0.8,0.8,3.6,0.65,0.43,0.22,4.68,0.5
Wayne Selden Jr.,3.1300258,7.27,1.1800026,1.59,1.32,1.51,1.78,0.48,0.13,8.78,1.45
Donte DiVincenzo,2.3000185,5.35,1.0299996,1.47,0.91,2.61,1.91,0.6,0.1,6.57,1.31
Willy Hernangomez,1.850016,3.36,1.2000042,1.83,0.1,3.72,0.67,0.36,0.32,5.02,0.69
Sterling Brown,1.5100118,3.79,0.3800016,0.44,0.59,2.64,0.46,0.57,0.24,4.01,0.46
Zach Collins,2.220008,5.6,0.51,0.8,0.68,4.26,0.99,0.32,0.59,5.64,1.13
Nene Hilario,2.4500091,4.69,1.0299952,1.84,0,3.54,0.78,0.57,0.24,5.93,0.57
Moritz Wagner,2.1499944,4.56,0.8200049,1.21,0.55,3.12,0.34,0.43,0.21,5.68,0.73
Noah Vonleh,1.6199892,3.66,0.5599958,0.91,0.31,4.86,0.52,0.29,0.26,4.12,0.48
Dorian Finney-Smith,2.1799785,5.73,0.5199969,0.71,0.95,3.54,1.22,0.47,0.19,5.82,1
Emmanuel Mudiay,3.179975,8.18,1.5299919,2.01,0.73,2.36,3.21,0.64,0.14,8.64,1.76
Kevin Huerter,2.1300104,4.69,1.0599984,1.44,0.85,2.36,1.58,0.27,0.32,6.19,1.39
Jerryd Bayless,2.18001,5.25,0.699996,0.88,1.08,1.6,1.08,0.45,0.12,6.16,0.92
Alex Caruso,1.3799954,3.22,0.580004,0.83,0.36,1.79,2.08,0.66,0.25,3.72,1.13
Tyler Ennis,1.7400006,4.14,0.4000016,0.53,0.25,1.73,1.94,0.55,0.18,4.14,0.7
Terrance Ferguson,1.4000022,3.39,0.1800003,0.19,0.8,0.91,0.37,0.49,0.19,3.8,0.22
Ante Zizic,1.5300054,2.09,0.649998,0.9,0,1.87,0.15,0.06,0.37,3.71,0.34
Michael Porter Jr.,3.2100492,10.84,2.4799932,3.24,0.86,7.13,0.31,1.08,0.31,9.79,1.29
Patrick McCaw,1.56,3.84,0.4400001,0.57,0.31,1.4,1.37,0.72,0.18,3.88,0.69
Jon Leuer,2.0900153,5.03,1.8100027,2.09,0,4.46,0.69,0.13,0.41,6,1.12
Matthew Dellavedova,1.4100083,3.89,0.6400026,0.69,0.74,1.66,3.71,0.33,0.02,4.2,1.25
Collin Sexton,4.2599975,10.67,4.730001,6.1,0.83,2.96,2.88,0.64,0.08,14.09,2.69
Damion Lee,1.8700119,4.59,0.6599994,0.87,0.45,2.14,0.87,0.57,0.03,4.86,0.42
Tyler Dorsey,2.569983,6.85,0.8000048,1.12,1.28,2.3,1.41,0.28,0.08,7.23,0.62
Raul Neto,2.0000179,4.37,0.7499957,1.01,0.54,1.42,2.16,0.36,0.1,5.29,1.04
Iman Shumpert,1.4600064,3.86,0.73,1,0.46,2.72,1.13,0.6,0.33,4.13,1.06
Lance Thomas,1.389993,3.65,0.5999976,0.72,0.68,2.39,0.6,0.41,0.19,4.08,0.56
DeAndre Liggins,0.7099974,1.89,0.03,0.08,0.33,1.33,0.85,0.66,0.26,1.8,0.37
Thon Maker,1.1999904,2.94,0.5999962,0.86,0.28,2.08,0.43,0.36,0.49,3.31,0.41
Grayson Allen,1.4799822,3.94,0.9700032,1.14,0.75,1.1,1.55,0.57,0.03,4.7,0.84
Ivica Zubac,1.45,2.9,0.9199993,1.21,0,2.9,0.59,0.19,0.35,3.83,0.61
Jacob Evans III,1.449998,3.74,0.8499954,1.14,0.48,1.66,1.1,0.46,0.35,4.24,0.77
Nik Stauskas,1.7500224,4.49,0.6099996,0.84,1.16,1.86,1.14,0.25,0.11,5.28,0.75
Tony Parker,2.419984,5.27,0.7399966,1.06,0.13,1.29,2.63,0.38,0.01,5.71,0.92
Derrick Jones Jr.,1.0999989,2.73,0.8400042,1.26,0.15,1.99,0.47,0.21,0.68,3.21,0.36
Chandler Hutchison,2.3000247,5.37,2.0499998,2.78,0.46,2.97,1.35,0.57,0.11,7.11,1.58
Sam Dekker,1.749999,3.54,0.4999964,0.76,0.13,2.39,0.52,0.32,0.12,4.15,0.47
Omari Spellman,1.0200042,2.39,0.3400017,0.51,0.36,2.3,0.22,0.19,0.42,2.75,0.34
Bryn Forbes,2.18998,5.2,0.5000025,0.75,0.93,1.15,0.84,0.28,0.03,5.81,0.39
Tim Frazier,0.7400056,1.88,0.25,0.32,0.18,1.26,2.12,0.51,0.08,1.93,0.62
Aaron Harrison,1.6800256,6.08,1.139999,1.49,0.79,2.11,0.96,0.79,0.17,5.29,0.26
Troy Brown,1.6500188,4.12,0.9799956,1.34,0.32,2.77,1.43,0.71,0.08,4.62,1.34
Derrick White,1.0000064,2.06,0.87,1.25,0.5,1.62,0.56,0.25,0.18,3.37,0.37
Ian Mahinmi,1.1300082,2.02,0.7299968,1.04,0,2.54,0.43,0.31,0.34,2.99,0.83
Miles Plumlee,1.4300065,2.47,0.3700004,0.82,0,3.12,0.61,0.23,0.41,3.25,0.85
Lonnie Walker IV,1.8500202,4.98,0.75,1,0.72,1.3,0.95,0.45,0.25,5.19,0.72
Ryan Arcidiacono,0.699992,1.7,0.2,0.25,0.37,1.04,1.45,0.54,0,2,0.54
David Nwaba,1.3599915,2.85,0.8900068,1.37,0.12,2.2,0.71,0.4,0.19,3.75,0.51
Jerome Robinson,2.129981,4.9,1.3999942,1.66,0.61,1.19,1.1,0.3,0.03,6.27,1.08
Landry Shamet,1.220003,2.78,0.759996,0.9,0.59,0.9,1.47,0.19,0.05,3.81,0.71
Paul Zipser,1.5000093,4.31,0.3500002,0.46,0.68,2.42,0.85,0.37,0.25,4.03,0.81
Jared Dudley,0.6399936,1.64,0.3600012,0.47,0.38,1.24,1.04,0.34,0.13,2.05,0.38
Aaron Holiday,1.6799805,4.05,1.399996,1.69,0.63,1.07,1.69,0.37,0.05,5.39,1.33
Ron Baker,0.4400061,1.29,0.4400001,0.57,0.24,0.66,1.03,0.57,0.13,1.57,0.39
Darrell Arthur,1.290006,2.7,0.1100002,0.17,0.47,0.81,0.52,0.47,0.17,3.17,0.88
Josh Okogie,1.219996,3.28,1.3499976,1.68,0.31,1.54,0.61,0.44,0.24,4.12,0.74
Timothe Luwawu-Cabarrot,1.8800128,5.03,0.8599991,1.09,1,1.35,1.01,0.22,0.09,5.64,0.71
TJ Leaf,1.5000009,3.21,0.2299988,0.38,0.41,1.93,0.2,0.11,0.09,3.68,0.23
Lorenzo Brown,0.9899978,2.42,0.14,0.14,0.14,0.99,0.92,0.42,0,2.28,0.21
Timofey Mozgov,1.1100078,1.98,0.479997,0.63,0.09,2.09,0.24,0.11,0.27,2.79,0.7
Henry Ellenson,1.8399806,5.02,0.86,1,0.69,2.8,0.69,0.16,0,5.24,0.63
Jarell Martin,1.11,2.5,0.4399996,0.58,0.17,1.6,0.37,0.2,0.25,2.84,0.44
Jason Smith,1.359984,3.48,0.5699988,0.63,0.12,1.6,0.42,0.09,0.39,3.42,0.48
Treveon Graham,0.8400006,1.94,0.3600012,0.52,0.35,1.06,0.52,0.29,0.02,2.41,0.23
Malik Beasley,1.2300064,3.01,0.3700015,0.55,0.47,1.19,0.52,0.25,0.11,3.32,0.42
Frank Mason III,1.6899972,4.44,1.24,1.6,0.42,1.32,2.05,0.27,0.03,5.05,1
Dwayne Bacon,1.2599964,3.38,0.340001,0.43,0.2,2.19,0.67,0.29,0.03,3.08,0.36
Caleb Swanigan,1.8100072,4.54,0.9100032,1.36,0.06,4.08,0.99,0.37,0.22,4.61,1.36
Cristiano Felicio,0.9400061,1.57,0.409998,0.6,0,1.68,0.41,0.13,0.07,2.27,0.41
Jabari Bird,1.2399912,2.16,0.5,1,0.25,1.58,0.66,0.25,0.08,3.25,0.66
Isaiah Hicks,1.7299926,3.78,0.6299974,0.94,0.1,2.15,0.84,0.1,0.21,4.21,0.84
Alex Poythress,0.7599956,1.82,0,0,0.27,1.18,0.12,0.22,0.07,1.82,0.12
Jake Layman,1.0300037,3.49,0.1399992,0.22,0.29,1.17,0.81,0.43,0.29,2.53,0.36
Joe Young,1.1800084,2.74,0.319998,0.42,0.37,0.93,0.58,0.2,0.01,3.06,0.38
Semi Ojeleye,0.8299992,2.39,0.3199976,0.52,0.5,2.04,0.25,0.26,0.05,2.49,0.32
Malachi Richardson,1.1500002,3.46,0.6500004,0.84,0.46,1.3,0.5,0.38,0.03,3.42,0.38
Anfernee Simons,0.86,2,0.3800005,0.55,0.34,0.97,0.71,0.22,0.04,2.46,0.49
Davon Reed,1.0400049,3.61,0.3800019,0.57,0.52,1.85,0.61,0.47,0.09,3,0.47
Guerschon Yabusele,0.6599976,1.77,0.22,0.22,0.33,1.65,0.44,0,0.11,1.88,0.33
Derrick Walton Jr.,0,0.75,0.5,0.5,0,0.5,0,0.25,0.25,0.5,0
Damian Jones,0.73,1.46,0.1999998,0.33,0,0.93,0.13,0.06,0.2,1.66,0.26
Zhou Qi,0.3099936,1.68,0.4200021,0.63,0.1,1.15,0.1,0.1,0.78,1.15,0.52
Abdel Nader,1.0599846,3.17,0.4800034,0.82,0.48,1.5,0.55,0.31,0.21,3.1,0.72
Khem Birch,1.1500128,2.88,0,0,0,1.15,0.58,0,0,2.31,0
D.J. Wilson,0.3999975,0.75,0.05,0.1,0.05,0.5,0.2,0.15,0.05,0.9,0.2
Furkan Korkmaz,0.949993,3.35,0.2299992,0.47,0.59,1.31,0.47,0.23,0.11,2.75,0.23
Thomas Bryant,0.57,1.5,0.3500032,0.64,0.07,1.21,0.42,0.07,0.14,1.57,0.14
Demetrius Jackson,0.410004,1.05,0.0500005,0.11,0.05,0.7,0.52,0.29,0.05,0.94,0.64
James Webb III,0.6,2.4,0,0,0.4,2.4,0.4,0.1,0,1.6,0.4
Georges Niang,0.4999952,1.37,0.12,0.25,0,1.12,0.37,0.25,0,1.12,0.37
Tony Bradley,0.3299978,1.22,0.22,0.22,0,1.32,0.11,0,0,0.88,0
Wes Iwundu,1.2400008,3.83,0.1099989,0.33,0.11,1.79,0.89,0.22,0,2.7,0.33
Torrey Craig,0,1.45,0,0,0,1.45,0,0,0,0,0